covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
CD274_group_bin,-0.6709725585994792,0.5112111531353082,0.1410970533480764,-0.9475177014864357,-0.3944274157125228,0.38770222262022663,0.6740658883091413,0.0,-4.755397385544527,1.9805644168323046e-06,18.945656944409244
AGE,0.024668114629374526,1.0249748898975526,0.00484752289107843,0.015167144348627325,0.03416908491012173,1.0152827492082026,1.034759554163429,0.0,5.088808280776701,3.6032065876929914e-07,21.404215294018865
sex_bin,0.09931699417801265,1.1044163376250655,0.14867497931146276,-0.192080610674692,0.3907145990307173,0.8252403426295687,1.4780366201276152,0.0,0.6680141785656557,0.5041245419613132,0.9881479050629398
